"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
22	0.881661676646707	11	11	"Churn"	"Yes"	0.1
23	0.817968172579453	11	11	"Churn"	"Yes"	0.1
24	0.866362003381234	11	11	"Churn"	"Yes"	0.1
25	0.850853695324284	11	11	"Churn"	"Yes"	0.1
26	0.892625661375661	11	11	"Churn"	"Yes"	0.1
27	0.858877840909091	11	11	"Churn"	"Yes"	0.1
28	0.893861418749228	11	11	"Churn"	"Yes"	0.1
29	0.87061823907983	11	11	"Churn"	"Yes"	0.1
30	0.855407595052262	11	11	"Churn"	"Yes"	0.1
1	0.864273969137364	12	12	"Churn"	"Yes"	0.1
2	0.843637547348485	12	12	"Churn"	"Yes"	0.1
3	0.889191848037311	12	12	"Churn"	"Yes"	0.1
4	0.877856786427146	12	12	"Churn"	"Yes"	0.1
5	0.847733191287879	12	12	"Churn"	"Yes"	0.1
6	0.913548378992853	12	12	"Churn"	"Yes"	0.1
7	0.872218944608325	12	12	"Churn"	"Yes"	0.1
8	0.84996059333498	12	12	"Churn"	"Yes"	0.1
9	0.890621253536661	12	12	"Churn"	"Yes"	0.1
10	0.886375473484848	12	12	"Churn"	"Yes"	0.1
11	0.856665536169625	12	12	"Churn"	"Yes"	0.1
12	0.831400645530741	12	12	"Churn"	"Yes"	0.1
13	0.876639958925025	12	12	"Churn"	"Yes"	0.1
14	0.912237911852803	12	12	"Churn"	"Yes"	0.1
15	0.896244058751355	12	12	"Churn"	"Yes"	0.1
16	0.889706901330377	12	12	"Churn"	"Yes"	0.1
17	0.850380388841927	12	12	"Churn"	"Yes"	0.1
18	0.867008377425044	12	12	"Churn"	"Yes"	0.1
19	0.867215662297629	12	12	"Churn"	"Yes"	0.1
20	0.84455301425339	12	12	"Churn"	"Yes"	0.1
21	0.852083467924284	12	12	"Churn"	"Yes"	0.1
22	0.866622473887023	12	12	"Churn"	"Yes"	0.1
23	0.828714049747377	12	12	"Churn"	"Yes"	0.1
24	0.827750748502994	12	12	"Churn"	"Yes"	0.1
25	0.863428533118799	12	12	"Churn"	"Yes"	0.1
26	0.848150864967296	12	12	"Churn"	"Yes"	0.1
27	0.844409192248328	12	12	"Churn"	"Yes"	0.1
28	0.841399930908788	12	12	"Churn"	"Yes"	0.1
29	0.870439501231527	12	12	"Churn"	"Yes"	0.1
30	0.889218702865762	12	12	"Churn"	"Yes"	0.1
1	0.854388725008194	13	13	"Churn"	"Yes"	0.1
2	0.818029094668439	13	13	"Churn"	"Yes"	0.1
3	0.838345864661654	13	13	"Churn"	"Yes"	0.1
4	0.883721224386542	13	13	"Churn"	"Yes"	0.1
5	0.848947860649988	13	13	"Churn"	"Yes"	0.1
6	0.854472236401792	13	13	"Churn"	"Yes"	0.1
7	0.826245638341544	13	13	"Churn"	"Yes"	0.1
8	0.85781273076355	13	13	"Churn"	"Yes"	0.1
9	0.831610351300617	13	13	"Churn"	"Yes"	0.1
10	0.865290495248244	13	13	"Churn"	"Yes"	0.1
11	0.858423981785985	13	13	"Churn"	"Yes"	0.1
12	0.870598875896376	13	13	"Churn"	"Yes"	0.1
13	0.838398203592814	13	13	"Churn"	"Yes"	0.1
14	0.823406076166025	13	13	"Churn"	"Yes"	0.1
15	0.848271202882483	13	13	"Churn"	"Yes"	0.1
16	0.867179058175607	13	13	"Churn"	"Yes"	0.1
17	0.869873509942093	13	13	"Churn"	"Yes"	0.1
18	0.847880747126437	13	13	"Churn"	"Yes"	0.1
19	0.850713073215458	13	13	"Churn"	"Yes"	0.1
20	0.822243175287356	13	13	"Churn"	"Yes"	0.1
21	0.848592723727422	13	13	"Churn"	"Yes"	0.1
22	0.856358264164562	13	13	"Churn"	"Yes"	0.1
23	0.87940369261477	13	13	"Churn"	"Yes"	0.1
24	0.886985085227273	13	13	"Churn"	"Yes"	0.1
25	0.847957516339869	13	13	"Churn"	"Yes"	0.1
26	0.847566785474821	13	13	"Churn"	"Yes"	0.1
27	0.866864088616849	13	13	"Churn"	"Yes"	0.1
28	0.852249495087167	13	13	"Churn"	"Yes"	0.1
29	0.863233574935703	13	13	"Churn"	"Yes"	0.1
30	0.844638661103918	13	13	"Churn"	"Yes"	0.1
1	0.843410068302555	14	14	"Churn"	"Yes"	0.1
2	0.886302294197031	14	14	"Churn"	"Yes"	0.1
3	0.835395386754903	14	14	"Churn"	"Yes"	0.1
4	0.830274509803922	14	14	"Churn"	"Yes"	0.1
5	0.871516720978354	14	14	"Churn"	"Yes"	0.1
6	0.820851293103448	14	14	"Churn"	"Yes"	0.1
7	0.872118671470806	14	14	"Churn"	"Yes"	0.1
8	0.84907665064508	14	14	"Churn"	"Yes"	0.1
9	0.833676089558135	14	14	"Churn"	"Yes"	0.1
10	0.81501590216509	14	14	"Churn"	"Yes"	0.1
11	0.873012684382713	14	14	"Churn"	"Yes"	0.1
12	0.856914708062617	14	14	"Churn"	"Yes"	0.1
13	0.849940737642055	14	14	"Churn"	"Yes"	0.1
14	0.877228672755538	14	14	"Churn"	"Yes"	0.1
15	0.84915337123296	14	14	"Churn"	"Yes"	0.1
16	0.883677856587641	14	14	"Churn"	"Yes"	0.1
17	0.897441695199948	14	14	"Churn"	"Yes"	0.1
18	0.872378077651515	14	14	"Churn"	"Yes"	0.1
19	0.866647954091816	14	14	"Churn"	"Yes"	0.1
20	0.82607472880675	14	14	"Churn"	"Yes"	0.1
21	0.870690799396682	14	14	"Churn"	"Yes"	0.1
22	0.881783723522854	14	14	"Churn"	"Yes"	0.1
23	0.847722965951464	14	14	"Churn"	"Yes"	0.1
24	0.844871721287953	14	14	"Churn"	"Yes"	0.1
25	0.872280377668309	14	14	"Churn"	"Yes"	0.1
26	0.853700081174232	14	14	"Churn"	"Yes"	0.1
27	0.870966204867357	14	14	"Churn"	"Yes"	0.1
28	0.88348031185007	14	14	"Churn"	"Yes"	0.1
29	0.823711049158344	14	14	"Churn"	"Yes"	0.1
30	0.828125	14	14	"Churn"	"Yes"	0.1
1	0.798720082649372	15	15	"Churn"	"Yes"	0.1
2	0.868617614269788	15	15	"Churn"	"Yes"	0.1
3	0.827560205751695	15	15	"Churn"	"Yes"	0.1
4	0.799152254178002	15	15	"Churn"	"Yes"	0.1
5	0.800408956824886	15	15	"Churn"	"Yes"	0.1
6	0.837027850612997	15	15	"Churn"	"Yes"	0.1
7	0.822805464204402	15	15	"Churn"	"Yes"	0.1
8	0.831352780857354	15	15	"Churn"	"Yes"	0.1
9	0.849444917078909	15	15	"Churn"	"Yes"	0.1
10	0.849434026428294	15	15	"Churn"	"Yes"	0.1
