"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
29	0.912017849501803	14	16	"Churn"	"Yes"	0
30	0.920044110176317	15	16	"Churn"	"Yes"	0
1	0.91453313253012	15	17	"Churn"	"Yes"	0
2	0.907750199294699	15	17	"Churn"	"Yes"	0
3	0.875409968588322	16	17	"Churn"	"Yes"	0
4	0.932146178047817	16	17	"Churn"	"Yes"	0
5	0.896828908554572	17	17	"Churn"	"Yes"	0
6	0.911710407239819	16	17	"Churn"	"Yes"	0
7	0.89678431372549	16	17	"Churn"	"Yes"	0
8	0.914444648205881	17	17	"Churn"	"Yes"	0
