"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_y"
19	0.923895958083832	16	17	"Churn"	0
20	0.901699521833273	17	17	"Churn"	0
21	0.920190101606031	15	17	"Churn"	0
22	0.914179570075435	17	17	"Churn"	0
23	0.906873829058725	17	17	"Churn"	0
24	0.89673548170527	16	17	"Churn"	0
25	0.872583074232414	17	17	"Churn"	0
26	0.886839048841616	16	17	"Churn"	0
27	0.898004459308807	17	17	"Churn"	0
28	0.911187406017539	17	17	"Churn"	0
29	0.874631751227496	16	17	"Churn"	0
30	0.89476384879105	16	17	"Churn"	0
1	0.909650171418261	16	18	"Churn"	0
2	0.909189223374652	17	18	"Churn"	0
3	0.914089827050136	16	18	"Churn"	0
4	0.903851171232488	17	18	"Churn"	0
5	0.895231515122637	17	18	"Churn"	0
6	0.917718596059113	18	18	"Churn"	0
7	0.943365293560606	18	18	"Churn"	0
8	0.909257703986046	16	18	"Churn"	0
9	0.892768419261528	17	18	"Churn"	0
10	0.89604790128255	18	18	"Churn"	0
11	0.905984750395627	17	18	"Churn"	0
12	0.871228609226305	16	18	"Churn"	0
13	0.914149043303122	17	18	"Churn"	0
14	0.89663594789357	17	18	"Churn"	0
15	0.889697636300897	16	18	"Churn"	0
16	0.883481604775297	15	18	"Churn"	0
17	0.912498362061777	17	18	"Churn"	0
18	0.903023226091301	17	18	"Churn"	0
19	0.910488266814486	17	18	"Churn"	0
20	0.916494363215675	18	18	"Churn"	0
21	0.862745098039216	15	18	"Churn"	0
22	0.883925898203593	17	18	"Churn"	0
23	0.888027371633929	17	18	"Churn"	0
24	0.898314776817249	18	18	"Churn"	0
25	0.924846566315653	18	18	"Churn"	0
26	0.921405011568946	17	18	"Churn"	0
27	0.926891814000541	15	18	"Churn"	0
28	0.909630947598003	18	18	"Churn"	0
29	0.907725348299119	16	18	"Churn"	0
30	0.914639471057884	17	18	"Churn"	0
1	0.89845268169452	17	19	"Churn"	0
2	0.881605764158634	18	19	"Churn"	0
3	0.869826713888186	16	19	"Churn"	0
4	0.935867950125977	17	19	"Churn"	0
5	0.93167032811282	17	19	"Churn"	0
6	0.937671191553545	17	19	"Churn"	0
7	0.910631166202884	16	19	"Churn"	0
8	0.893928536727555	18	19	"Churn"	0
9	0.866302567624683	18	19	"Churn"	0
10	0.930861888461493	17	19	"Churn"	0
11	0.91154150481945	18	19	"Churn"	0
12	0.921662380173018	15	19	"Churn"	0
13	0.895926896207585	17	19	"Churn"	0
14	0.93809766887868	19	19	"Churn"	0
15	0.901572915168081	16	19	"Churn"	0
16	0.88804327892903	16	19	"Churn"	0
17	0.892707378201602	17	19	"Churn"	0
18	0.908033932135729	15	19	"Churn"	0
19	0.896854706007964	16	19	"Churn"	0
20	0.906266554686995	16	19	"Churn"	0
21	0.899254806702623	17	19	"Churn"	0
22	0.887622549019608	17	19	"Churn"	0
23	0.89002619760479	15	19	"Churn"	0
24	0.900628198297545	16	19	"Churn"	0
25	0.929644415671606	17	19	"Churn"	0
26	0.929274848953034	16	19	"Churn"	0
27	0.906566295546559	18	19	"Churn"	0
28	0.897130235566225	18	19	"Churn"	0
29	0.930521870286576	19	19	"Churn"	0
30	0.903260855911871	16	19	"Churn"	0
1	0.94233452441722	16	20	"Churn"	0
2	0.927102814871288	17	20	"Churn"	0
3	0.912929894179894	18	20	"Churn"	0
4	0.873398592565861	16	20	"Churn"	0
5	0.896506986027944	19	20	"Churn"	0
6	0.895150587034201	15	20	"Churn"	0
7	0.872997185688497	18	20	"Churn"	0
8	0.908679121599476	17	20	"Churn"	0
9	0.934850484991104	18	20	"Churn"	0
10	0.895389638305041	18	20	"Churn"	0
11	0.90194543701435	18	20	"Churn"	0
12	0.922438332926673	17	20	"Churn"	0
13	0.901965627977556	16	20	"Churn"	0
14	0.913458133063496	16	20	"Churn"	0
15	0.933119383825417	20	20	"Churn"	0
16	0.879190666075912	16	20	"Churn"	0
17	0.878894906208304	16	20	"Churn"	0
18	0.8881156188558	16	20	"Churn"	0
19	0.896048746632789	17	20	"Churn"	0
20	0.889227023737066	15	20	"Churn"	0
21	0.90020064072009	16	20	"Churn"	0
22	0.907715235584088	16	20	"Churn"	0
23	0.903123662815576	17	20	"Churn"	0
24	0.897787336932074	18	20	"Churn"	0
25	0.942352794411178	16	20	"Churn"	0
26	0.921117705242334	19	20	"Churn"	0
27	0.923000496770989	16	20	"Churn"	0
28	0.906458837123423	16	20	"Churn"	0
29	0.868622884097352	18	20	"Churn"	0
30	0.907545067191085	15	20	"Churn"	0
1	0.872820012315986	16	21	"Churn"	0
2	0.917693641882331	17	21	"Churn"	0
3	0.900575512269163	16	21	"Churn"	0
4	0.885439617657053	17	21	"Churn"	0
5	0.894847264182612	16	21	"Churn"	0
6	0.89758036485138	17	21	"Churn"	0
7	0.869926997868079	14	21	"Churn"	0
8	0.867363264904249	15	21	"Churn"	0
9	0.914190045248869	15	21	"Churn"	0
10	0.901313888784213	17	21	"Churn"	0
11	0.898298760435113	16	21	"Churn"	0
12	0.906193867681602	18	21	"Churn"	0
13	0.892247360482655	17	21	"Churn"	0
14	0.86854642340403	18	21	"Churn"	0
15	0.923832894564428	16	21	"Churn"	0
16	0.886080192259044	15	21	"Churn"	0
17	0.874772272110601	17	21	"Churn"	0
18	0.905685121777893	15	21	"Churn"	0
19	0.913522954091816	17	21	"Churn"	0
20	0.887929288717882	16	21	"Churn"	0
21	0.882239800272587	17	21	"Churn"	0
22	0.892491429086972	15	21	"Churn"	0
23	0.91565459280303	17	21	"Churn"	0
24	0.90721373022258	17	21	"Churn"	0
